,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Age of House,Age of Renovation,Renovation Flag,Living Area to Lot Area Ratio,Total Bathrooms,Total Fireplaces,Garage Area per Car,Mas Vnr Area to Lot Area,Total Porch Area,SalePrice to Lot Area Ratio,Price per Square Foot
0,20,RL,3.1761547031750506,2.7443807281109063,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,-0.3755370142911952,-1.1634881302484883,Hip,CompShg,BrkFace,Plywood,Stone,0.061046046562962614,TA,TA,CBlock,TA,Gd,Gd,BLQ,0.43143303670526073,Unf,-0.2939182393505505,-0.2686710489081108,0.06519582801333862,GasA,Fa,Y,SBrkr,1.267003337699396,-0.7831853135907442,-0.10100493596546713,0.3092650614142043,1.084375647541021,-0.24922024328289993,-1.0247928895561034,-0.755202693152744,0.17609421298456596,-0.2072914450684739,TA,0.35416673338464155,Typ,2.1621800494542995,Gd,Attchd,0.19703137000905585,Fin,0.3065894971646573,0.2565922848048469,TA,TA,P,0.9201213073107155,0.2144086130638208,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,5,1.6784989953969243,WD,Normal,215000,0.4479226771696646,1.2695155322145335,0.29937333830207496,-1.1353314322038948,-0.46580405160003097,2.185253010351007,-0.13353629526560007,-0.2929396970230683,0.5576004376756997,-1.1371411940314058,0.26577202771721486
1,20,RH,0.44570507426532346,0.18709726495376833,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,-0.34246844868822607,-1.11554196603662,Gable,CompShg,VinylSd,VinylSd,None,-0.5660393675765791,TA,TA,CBlock,TA,TA,No,Rec,0.056028571361887936,LwQ,0.5575822965488725,-0.6577800404803923,-0.3838929700733429,GasA,TA,Y,SBrkr,-0.6726430144946557,-0.7831853135907442,-0.10100493596546713,-1.1944270494036793,-0.8215755505964664,-0.24922024328289993,-1.0247928895561034,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,TA,-0.9175348950675649,Typ,-0.9251433155072492,NA,Attchd,0.1992727795109487,Unf,-1.0086480236149116,1.196233606435545,TA,TA,Y,0.3660608207986128,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,1.8545298777215957,-0.06303104887737992,NA,MnPrv,NA,-0.08942227838639759,6,1.6784989953969243,WD,Normal,105000,0.41490432545116007,1.2215660573916063,0.29937333830207496,-0.9188440425331256,-1.5287369730860825,-1.1431777574509947,7.426849982704931,-0.40841615727591485,0.4825099264738153,-0.9625968394012643,-0.1282879164260523
2,20,RL,0.49046654359171243,0.5228137013271369,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,-0.4416741454971335,-1.2593804586722255,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.03865013891512183,TA,TA,CBlock,TA,TA,No,ALQ,1.054911797860336,Unf,-0.2939182393505505,-0.3483132401655953,0.6299590134859835,GasA,TA,Y,SBrkr,0.4324449730053764,-0.7831853135907442,-0.10100493596546713,-0.33771825468770084,-0.8215755505964664,-0.24922024328289993,-1.0247928895561034,1.2346749066112308,0.17609421298456596,-0.2072914450684739,Gd,-0.2816840808414617,Typ,-0.9251433155072492,NA,Attchd,0.19254855100527007,Unf,-1.0086480236149116,-0.7481726927804541,TA,TA,Y,2.3685937220494977,-0.17093708592883902,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,Gar2,21.98572513839976,6,1.6784989953969243,WD,Normal,172000,0.5139593806066736,1.3654144818603882,0.29937333830207496,-0.779635529228304,-0.46580405160003097,-1.1431777574509947,0.6452159393751412,-0.16045494598840523,1.5400346259003541,-0.7300040985532605,0.252984098125934
3,20,RL,1.02760417550838,0.1284579479010287,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,-0.11098848946744196,-0.7799188165535402,Hip,CompShg,BrkFace,BrkFace,None,-0.5660393675765791,Gd,TA,CBlock,TA,TA,No,ALQ,1.3666511784378736,Unf,-0.2939182393505505,1.1057256230781936,2.401364828161227,GasA,Ex,Y,SBrkr,2.425686816510053,-0.7831853135907442,-0.10100493596546713,1.207523243402782,1.084375647541021,-0.24922024328289993,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,Ex,0.9900175476107448,Typ,2.1621800494542995,TA,Attchd,0.21496264602419887,Fin,0.3065894971646573,0.22868214653858854,TA,TA,Y,-0.7420601522255925,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,4,1.6784989953969243,WD,Normal,244000,0.18377586342162855,0.8859197336311153,0.29937333830207496,0.05192989950905936,1.6600617913720719,2.185253010351007,-0.1822083099306464,-0.40841615727591485,-1.1444511495670138,0.025082750046332626,-0.17652506819366984
4,60,RL,0.17713625830698967,0.46734750749153686,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,0.8479999130186635,0.6584661098025154,Gable,CompShg,VinylSd,VinylSd,None,-0.5660393675765791,TA,TA,PConc,Gd,TA,No,GLQ,0.7651258947882588,Unf,-0.2939182393505505,-0.9604203672588335,-0.2795592089016896,GasA,Gd,Y,SBrkr,-0.5909736944022747,0.8534315587051652,-0.10100493596546713,0.2558444206351479,-0.8215755505964664,-0.24922024328289993,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,TA,-0.2816840808414617,Typ,0.6185183669735254,TA,Attchd,0.2799635215790923,Fin,0.3065894971646573,0.04261455809686614,TA,TA,Y,0.935951606925347,-0.20057906277442825,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,MnPrv,NA,-0.08942227838639759,3,1.6784989953969243,WD,Normal,189900,-0.7737563364150021,-0.5525645110567029,0.29937333830207496,-0.5660536135727169,0.5971288698860204,-0.03370083485032747,-0.5066884076976219,-0.40841615727591485,0.3949043300716168,-0.6010338039220728,-0.14739074152401097
5,60,RL,0.3561821356125455,-0.02156731780533106,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,0.8810684786216327,0.6584661098025154,Gable,CompShg,VinylSd,VinylSd,BrkFace,-0.4540598293373752,TA,TA,PConc,TA,TA,No,GLQ,0.35020516993505724,Unf,-0.2939182393505505,-0.5349035168259876,-0.28409545938741365,GasA,Ex,Y,SBrkr,-0.5960780269080485,0.7997337155342581,-0.10100493596546713,0.20638086435824385,-0.8215755505964664,-0.24922024328289993,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,Gd,0.35416673338464155,Typ,0.6185183669735254,Gd,Attchd,0.2822049310809852,Fin,0.3065894971646573,-0.013205718435650583,TA,TA,Y,2.107393778408078,-0.17093708592883902,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,6,1.6784989953969243,WD,Normal,195500,-0.8067746881335066,-0.5525645110567029,0.29937333830207496,-0.19354837191034124,0.5971288698860204,-0.03370083485032747,-0.6040324370277146,-0.34275944210552334,1.333535720095172,-0.14973071197040086,0.018051224032318142
6,120,RL,-1.2999922294638462,-0.6635536070970127,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,0.9802741754305402,0.802304602438121,Gable,CompShg,CemntBd,CmentBd,None,-0.5660393675765791,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.3809400384427018,Unf,-0.2939182393505505,0.3707419723305507,0.6503721406717418,GasA,Ex,Y,SBrkr,0.4554144692813586,-0.7831853135907442,-0.10100493596546713,-0.31991137442801537,1.084375647541021,-0.24922024328289993,0.7840282950218381,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,Gd,-0.2816840808414617,Typ,-0.9251433155072492,NA,Attchd,0.2889291595866638,Fin,0.3065894971646573,0.5077835292011721,TA,TA,Y,-0.7420601522255925,-0.704492669149445,2.292105426627756,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,4,1.6784989953969243,WD,Normal,213500,-0.9058297432890201,-0.6964129355254847,0.29937333830207496,0.7705032903052659,0.5971288698860204,-0.03370083485032747,0.3045118367198169,-0.40841615727591485,-0.08066890754031784,1.682647434035309,1.1925474235567899
7,120,RL,-1.2104692908110684,-0.6527649881587382,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,0.6826570850038177,0.37078912453130425,Gable,CompShg,HdBoard,HdBoard,None,-0.5660393675765791,Gd,TA,PConc,Gd,TA,No,ALQ,-0.39401771750005016,Unf,-0.2939182393505505,1.0420118700722059,0.5188208765857442,GasA,Ex,Y,SBrkr,0.3073888266139178,-0.7831853135907442,-0.10100493596546713,-0.4346668249904328,-0.8215755505964664,-0.24922024328289993,0.7840282950218381,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,Gd,-0.9175348950675649,Typ,-0.9251433155072492,NA,Attchd,0.26875647406962794,RFn,0.3065894971646573,0.15425511116189958,TA,TA,Y,-0.7420601522255925,0.510828381519713,-0.3588380041723937,-0.1031343162481333,2.282506737995107,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,1,1.6784989953969243,WD,Normal,191500,-0.6086645778224795,-0.2648676621191392,0.29937333830207496,0.6299934611851411,-0.46580405160003097,-1.1431777574509947,-0.3120003490374366,-0.40841615727591485,0.2697534780684761,1.2875073266315302,0.8822111731747646
8,120,RL,-1.3895151681166242,-0.604025815543474,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,0.7818627818127252,0.5625737813787783,Gable,CompShg,CemntBd,CmentBd,None,-0.5660393675765791,Gd,TA,PConc,Gd,TA,No,GLQ,1.6191161697506682,Unf,-0.2939182393505505,-0.32783381955652785,1.2332803280872828,GasA,Ex,Y,SBrkr,1.1649166875839196,-0.7831853135907442,-0.10100493596546713,0.2301233713711578,1.084375647541021,-0.24922024328289993,0.7840282950218381,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,Gd,-0.9175348950675649,Typ,0.6185183669735254,TA,Attchd,0.27548070257530655,RFn,0.3065894971646573,0.6287274616882916,TA,TA,Y,1.1338303521082407,1.5482975711153357,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,3,1.6784989953969243,WD,Normal,236500,-0.7077196329779931,-0.4566655614108483,0.29937333830207496,1.0125522017251345,0.5971288698860204,1.0757760877503397,0.515423900268351,-0.40841615727591485,1.2897329218940727,1.7204775180408654,0.7805947193356272
9,60,RL,-0.44952431226245587,-0.3360872910882072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,0.9141370442246018,0.7064122740143839,Gable,CompShg,VinylSd,VinylSd,None,-0.5660393675765791,TA,TA,PConc,TA,TA,No,Unf,-0.9713941758936586,Unf,-0.2939182393505505,0.9896755729601446,-0.12986294287279576,GasA,Gd,Y,SBrkr,-0.3357570691135836,1.0285332212189928,-0.10100493596546713,0.6020893145734764,-0.8215755505964664,-0.24922024328289993,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,Gd,0.35416673338464155,Typ,0.6185183669735254,TA,Attchd,0.28444634058287804,Fin,0.3065894971646573,-0.14345303034485626,TA,TA,Y,0.3660608207986128,0.1847666362182316,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,NA,NA,NA,-0.08942227838639759,6,1.6784989953969243,WD,Normal,189000,-0.8397930398520111,-0.6005139858796301,0.29937333830207496,0.49811903119806594,0.5971288698860204,-0.03370083485032747,-0.8311685054645975,-0.40841615727591485,0.10705737046439319,0.2819261120607852,-0.5153943985374437
